model_name,feature,importance
Gradient Boosted Trees Classifier,good,0.04673144371636154
Gradient Boosted Trees Classifier,war,0.04241371612147013
Gradient Boosted Trees Classifier,even,0.04140416253206572
Gradient Boosted Trees Classifier,batman,0.03781023561964688
Gradient Boosted Trees Classifier,love,0.02896157440528917
Gradient Boosted Trees Classifier,crashes,0.02797801388711934
Gradient Boosted Trees Classifier,worst,0.027211224696542184
Gradient Boosted Trees Classifier,terrible,0.026392667835207897
Gradient Boosted Trees Classifier,refund,0.025456534585205113
Gradient Boosted Trees Classifier,boring,0.02505917039168
Gradient Boosted Trees Classifier,arkham,0.02490503935087925
Gradient Boosted Trees Classifier,waste,0.024843537193729583
Gradient Boosted Trees Classifier,buy,0.024747378981122455
Gradient Boosted Trees Classifier,fix,0.024651265325572807
Gradient Boosted Trees Classifier,civ,0.024395644852739
Gradient Boosted Trees Classifier,money,0.022939503352702208
Gradient Boosted Trees Classifier,unplayable,0.022856233193286172
Gradient Boosted Trees Classifier,port,0.019857982082209513
Gradient Boosted Trees Classifier,awesome,0.018783346395934746
Gradient Boosted Trees Classifier,pc,0.016652172538567225
Gradient Boosted Trees Classifier,broken,0.015856130357366643
Gradient Boosted Trees Classifier,tower,0.015236507054262714
Gradient Boosted Trees Classifier,amazing,0.014806372873667633
Gradient Boosted Trees Classifier,:),0.0145483249384245
Gradient Boosted Trees Classifier,civilization,0.014430442739004196
Gradient Boosted Trees Classifier,deus,0.013915322036513663
Gradient Boosted Trees Classifier,9/10,0.013446544310159514
Gradient Boosted Trees Classifier,warface,0.013437704868241583
Gradient Boosted Trees Classifier,unplayable.,0.012311656732129734
Gradient Boosted Trees Classifier,great,0.011648504398684163
