model_name,feature,importance
Naive Bayes,batmobile,8.104805887533718
Naive Bayes,rocksteady,7.884710243918228
Naive Bayes,warface,7.8302289797684725
Naive Bayes,wb,7.767836833370922
Naive Bayes,warner,7.060649911362309
Naive Bayes,marko,6.862038445006249
Naive Bayes,batmobile.,6.725144211930871
Naive Bayes,riddler,6.670637981520189
Naive Bayes,elsword,6.617755660753939
Naive Bayes,batman:,6.512871379980709
Naive Bayes,"batmobile,",6.509221932925104
Naive Bayes,gotham,6.507934978448649
Naive Bayes,capcom,6.47859693043843
Naive Bayes,crytek,6.463202599995682
Naive Bayes,ini,6.403359580690703
Naive Bayes,.ini,6.3987456352639
Naive Bayes,harley,6.359747857392861
Naive Bayes,rocksteady.,6.32597502879254
Naive Bayes,ports,6.321119453644183
Naive Bayes,metro,6.320708662281691
Naive Bayes,"rocksteady,",6.239979665043604
Naive Bayes,marin,6.079849633748417
Naive Bayes,quinn,6.075954917682459
Naive Bayes,scarecrow,6.058929669289107
Naive Bayes,bros.,6.054022771873399
Naive Bayes,wb.,6.031272287221196
Naive Bayes,arica,5.991538670370474
Naive Bayes,kog,5.991271316428154
Naive Bayes,stamina,5.903063992090225
Naive Bayes,sokobond,5.888362847902286
