model_name,feature,importance
Decision Tree Classifier,even,0.22244111437521036
Decision Tree Classifier,great,0.15335039767840453
Decision Tree Classifier,pc,0.13105250933717266
Decision Tree Classifier,best,0.11905362248238868
Decision Tree Classifier,10/10,0.09446836279829272
Decision Tree Classifier,war,0.060937429185557786
Decision Tree Classifier,civ,0.05636125965271853
Decision Tree Classifier,arkham,0.04206395916176715
Decision Tree Classifier,warface,0.026968787523744604
Decision Tree Classifier,homeworld,0.02157149384718786
Decision Tree Classifier,port,0.014792071856262549
Decision Tree Classifier,waste,0.011155937769922075
Decision Tree Classifier,worse,0.008810511909528149
Decision Tree Classifier,ai,0.006527936233709606
Decision Tree Classifier,creed,0.006409985809993238
Decision Tree Classifier,boring,0.004649074861609633
Decision Tree Classifier,refund,0.004311963998813935
Decision Tree Classifier,huge,0.003362845720564413
Decision Tree Classifier,overall,0.0024910700753956252
Decision Tree Classifier,it.,0.002365707782640326
Decision Tree Classifier,late,0.0020599655760160933
Decision Tree Classifier,-i,0.0020032331984948027
Decision Tree Classifier,"sadly,",0.001657086285519598
Decision Tree Classifier,really,0.001133672879084982
Decision Tree Classifier,matches,0.0
Decision Tree Classifier,ten,0.0
Decision Tree Classifier,ghost,0.0
Decision Tree Classifier,wanting,0.0
Decision Tree Classifier,ridiculous,0.0
Decision Tree Classifier,"mode,",0.0
